,hubmap_id,uuid,status,ancestors,descendants
0,HBM222.HSVR.282,dfb92b98eb60ad06b962aca3696fe3ba,Unpublished,4da608fc8cf5c2ccadd8aeeca30c5855,
0,HBM222.HSVR.282,dfb92b98eb60ad06b962aca3696fe3ba,Unpublished,825e4d48c77f4b0444f1dcc3834e1a2d,
0,HBM222.HSVR.282,dfb92b98eb60ad06b962aca3696fe3ba,Unpublished,5b24ccb2caa0fadbb19325591b4c2236,
0,HBM222.HSVR.282,dfb92b98eb60ad06b962aca3696fe3ba,Unpublished,29a385d01f8316404952d101bc4f16c5,
1,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,ca0e65f5768377b8503c268dbc1e9569,0d1eb3d774a694b79e844987f771b183
1,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,ca0e65f5768377b8503c268dbc1e9569,107f237dc1c866e9e9b215c7354c8d6a
1,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,3d74b962e316efbfba104370f5c87e2d,0d1eb3d774a694b79e844987f771b183
1,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,3d74b962e316efbfba104370f5c87e2d,107f237dc1c866e9e9b215c7354c8d6a
1,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,1c6a1507a29d98163931503cafea30cd,0d1eb3d774a694b79e844987f771b183
1,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,1c6a1507a29d98163931503cafea30cd,107f237dc1c866e9e9b215c7354c8d6a
1,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,733bdbf081282875f7bd5b64bfaca725,0d1eb3d774a694b79e844987f771b183
1,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,733bdbf081282875f7bd5b64bfaca725,107f237dc1c866e9e9b215c7354c8d6a
1,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,48b15ba8abfaef4e70edfdf173649b6c,0d1eb3d774a694b79e844987f771b183
1,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,48b15ba8abfaef4e70edfdf173649b6c,107f237dc1c866e9e9b215c7354c8d6a
2,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,ca0e65f5768377b8503c268dbc1e9569,0d1eb3d774a694b79e844987f771b183
2,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,ca0e65f5768377b8503c268dbc1e9569,107f237dc1c866e9e9b215c7354c8d6a
2,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,3d74b962e316efbfba104370f5c87e2d,0d1eb3d774a694b79e844987f771b183
2,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,3d74b962e316efbfba104370f5c87e2d,107f237dc1c866e9e9b215c7354c8d6a
2,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,1c6a1507a29d98163931503cafea30cd,0d1eb3d774a694b79e844987f771b183
2,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,1c6a1507a29d98163931503cafea30cd,107f237dc1c866e9e9b215c7354c8d6a
2,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,733bdbf081282875f7bd5b64bfaca725,0d1eb3d774a694b79e844987f771b183
2,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,733bdbf081282875f7bd5b64bfaca725,107f237dc1c866e9e9b215c7354c8d6a
2,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,48b15ba8abfaef4e70edfdf173649b6c,0d1eb3d774a694b79e844987f771b183
2,HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,Published,48b15ba8abfaef4e70edfdf173649b6c,107f237dc1c866e9e9b215c7354c8d6a
3,HBM224.WNNF.837,94628b7cbea631d114dac5f4c4aab901,Unpublished,0976608cee4c76e626a87d7719dd35d2,
3,HBM224.WNNF.837,94628b7cbea631d114dac5f4c4aab901,Unpublished,92292494fe566fcd19a54d27edca52f0,
3,HBM224.WNNF.837,94628b7cbea631d114dac5f4c4aab901,Unpublished,b4d5c999634afcdb45473176dfdf14ab,
3,HBM224.WNNF.837,94628b7cbea631d114dac5f4c4aab901,Unpublished,a9c2ea2bd3106f142edf420dc02cdddd,
4,HBM227.SQCR.264,fc01c66c978c9c2dfdf398d125395d44,Unpublished,5ebf764666cf1c8b0446fda6549fcf86,
4,HBM227.SQCR.264,fc01c66c978c9c2dfdf398d125395d44,Unpublished,d9e64e77d26d9fb8133d7754d1c3f6d0,
4,HBM227.SQCR.264,fc01c66c978c9c2dfdf398d125395d44,Unpublished,5134fbfeb5aa7e3cf376b5147330f971,
4,HBM227.SQCR.264,fc01c66c978c9c2dfdf398d125395d44,Unpublished,e33d1812800f835d8d20d878068013fc,
4,HBM227.SQCR.264,fc01c66c978c9c2dfdf398d125395d44,Unpublished,ff043e8a4b6d7b21620ad9f0978238d0,
5,HBM227.SQCR.264,fc01c66c978c9c2dfdf398d125395d44,Unpublished,5ebf764666cf1c8b0446fda6549fcf86,
5,HBM227.SQCR.264,fc01c66c978c9c2dfdf398d125395d44,Unpublished,d9e64e77d26d9fb8133d7754d1c3f6d0,
5,HBM227.SQCR.264,fc01c66c978c9c2dfdf398d125395d44,Unpublished,5134fbfeb5aa7e3cf376b5147330f971,
5,HBM227.SQCR.264,fc01c66c978c9c2dfdf398d125395d44,Unpublished,e33d1812800f835d8d20d878068013fc,
5,HBM227.SQCR.264,fc01c66c978c9c2dfdf398d125395d44,Unpublished,ff043e8a4b6d7b21620ad9f0978238d0,
6,HBM232.KNBD.954,4c4d0414f303303ca858da5a5d343f6a,Unpublished,318c3fede0120c41983798dbc476a54c,82400009b02f7651f3edf5b292f7cd9a
6,HBM232.KNBD.954,4c4d0414f303303ca858da5a5d343f6a,Unpublished,d1b746040b9016e82acb4a5afe20062d,82400009b02f7651f3edf5b292f7cd9a
6,HBM232.KNBD.954,4c4d0414f303303ca858da5a5d343f6a,Unpublished,d9a76949ff4ec4976aff0da1d3f0a6cd,82400009b02f7651f3edf5b292f7cd9a
6,HBM232.KNBD.954,4c4d0414f303303ca858da5a5d343f6a,Unpublished,6f8e7fe3e16f56459288a5d2c0690539,82400009b02f7651f3edf5b292f7cd9a
6,HBM232.KNBD.954,4c4d0414f303303ca858da5a5d343f6a,Unpublished,b8f375d33daa5228782abd838d851b8d,82400009b02f7651f3edf5b292f7cd9a
