dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,count
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,native cell,CL:0000003,female,seventh decade human stage,European,914
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,fibroblast,CL:0000057,female,seventh decade human stage,European,1190
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,mast cell,CL:0000097,female,seventh decade human stage,European,6
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,endothelial cell,CL:0000115,female,seventh decade human stage,European,612
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,smooth muscle cell,CL:0000192,female,seventh decade human stage,European,523
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,macrophage,CL:0000235,female,seventh decade human stage,European,591
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,B cell,CL:0000236,female,seventh decade human stage,European,94
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,dendritic cell,CL:0000451,female,seventh decade human stage,European,23
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,monocyte,CL:0000576,female,seventh decade human stage,European,88
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,natural killer cell,CL:0000623,female,seventh decade human stage,European,570
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,pericyte,CL:0000669,female,seventh decade human stage,European,1737
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,female,seventh decade human stage,European,67
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,mature NK T cell,CL:0000814,female,seventh decade human stage,European,90
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,"activated CD4-positive, alpha-beta T cell",CL:0000896,female,seventh decade human stage,European,109
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,"activated CD8-positive, alpha-beta T cell",CL:0000906,female,seventh decade human stage,European,41
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,female,seventh decade human stage,European,103
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,CD14-positive monocyte,CL:0001054,female,seventh decade human stage,European,315
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,regular ventricular cardiac myocyte,CL:0002131,female,seventh decade human stage,European,1937
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,endothelial cell of lymphatic vessel,CL:0002138,female,seventh decade human stage,European,24
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,capillary endothelial cell,CL:0002144,female,seventh decade human stage,European,4306
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,neural cell,CL:0002319,female,seventh decade human stage,European,15
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,"CD14-positive, CD16-positive monocyte",CL:0002397,female,seventh decade human stage,European,441
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,vein endothelial cell,CL:0002543,female,seventh decade human stage,European,276
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,epicardial adipocyte,CL:1000309,female,seventh decade human stage,European,103
All — Cells of the adult human heart,D11,interventricular septum,UBERON:0002094,endothelial cell of artery,CL:1000413,female,seventh decade human stage,European,1283
