dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,count
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,native cell,CL:0000003,male,sixth decade human stage,Asian,83
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,fibroblast,CL:0000057,male,sixth decade human stage,Asian,234
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,mast cell,CL:0000097,male,sixth decade human stage,Asian,1
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,endothelial cell,CL:0000115,male,sixth decade human stage,Asian,80
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,smooth muscle cell,CL:0000192,male,sixth decade human stage,Asian,85
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,macrophage,CL:0000235,male,sixth decade human stage,Asian,158
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,B cell,CL:0000236,male,sixth decade human stage,Asian,155
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,dendritic cell,CL:0000451,male,sixth decade human stage,Asian,7
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,monocyte,CL:0000576,male,sixth decade human stage,Asian,32
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,natural killer cell,CL:0000623,male,sixth decade human stage,Asian,9
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,pericyte,CL:0000669,male,sixth decade human stage,Asian,386
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,male,sixth decade human stage,Asian,85
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,mature NK T cell,CL:0000814,male,sixth decade human stage,Asian,5
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,"activated CD4-positive, alpha-beta T cell",CL:0000896,male,sixth decade human stage,Asian,7
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,"activated CD8-positive, alpha-beta T cell",CL:0000906,male,sixth decade human stage,Asian,116
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,male,sixth decade human stage,Asian,30
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,CD14-positive monocyte,CL:0001054,male,sixth decade human stage,Asian,43
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,regular atrial cardiac myocyte,CL:0002129,male,sixth decade human stage,Asian,427
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,capillary endothelial cell,CL:0002144,male,sixth decade human stage,Asian,63
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,neural cell,CL:0002319,male,sixth decade human stage,Asian,29
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,"CD14-positive, CD16-positive monocyte",CL:0002397,male,sixth decade human stage,Asian,85
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,vein endothelial cell,CL:0002543,male,sixth decade human stage,Asian,42
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,epicardial adipocyte,CL:1000309,male,sixth decade human stage,Asian,31
All — Cells of the adult human heart,H3,right cardiac atrium,UBERON:0002078,endothelial cell of artery,CL:1000413,male,sixth decade human stage,Asian,53
