dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,count
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,native cell,CL:0000003,female,eighth decade human stage,European,209
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,fibroblast,CL:0000057,female,eighth decade human stage,European,808
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,endothelial cell,CL:0000115,female,eighth decade human stage,European,37
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,smooth muscle cell,CL:0000192,female,eighth decade human stage,European,79
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,macrophage,CL:0000235,female,eighth decade human stage,European,80
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,B cell,CL:0000236,female,eighth decade human stage,European,1
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,monocyte,CL:0000576,female,eighth decade human stage,European,2
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,natural killer cell,CL:0000623,female,eighth decade human stage,European,1
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,pericyte,CL:0000669,female,eighth decade human stage,European,725
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,female,eighth decade human stage,European,4
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,"activated CD8-positive, alpha-beta T cell",CL:0000906,female,eighth decade human stage,European,2
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,female,eighth decade human stage,European,3
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,regular ventricular cardiac myocyte,CL:0002131,female,eighth decade human stage,European,1851
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,endothelial cell of lymphatic vessel,CL:0002138,female,eighth decade human stage,European,2
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,capillary endothelial cell,CL:0002144,female,eighth decade human stage,European,353
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,neural cell,CL:0002319,female,eighth decade human stage,European,10
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,"CD14-positive, CD16-positive monocyte",CL:0002397,female,eighth decade human stage,European,6
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,vein endothelial cell,CL:0002543,female,eighth decade human stage,European,57
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,epicardial adipocyte,CL:1000309,female,eighth decade human stage,European,11
All — Cells of the adult human heart,D5,apex of heart,UBERON:0002098,endothelial cell of artery,CL:1000413,female,eighth decade human stage,European,130
