dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,count
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,native cell,CL:0000003,male,seventh decade human stage,European,473
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,fibroblast,CL:0000057,male,seventh decade human stage,European,412
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,mesothelial cell,CL:0000077,male,seventh decade human stage,European,2
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,mast cell,CL:0000097,male,seventh decade human stage,European,1
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,endothelial cell,CL:0000115,male,seventh decade human stage,European,66
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,smooth muscle cell,CL:0000192,male,seventh decade human stage,European,66
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,macrophage,CL:0000235,male,seventh decade human stage,European,163
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,B cell,CL:0000236,male,seventh decade human stage,European,4
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,dendritic cell,CL:0000451,male,seventh decade human stage,European,21
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,monocyte,CL:0000576,male,seventh decade human stage,European,35
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,natural killer cell,CL:0000623,male,seventh decade human stage,European,110
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,pericyte,CL:0000669,male,seventh decade human stage,European,297
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,male,seventh decade human stage,European,100
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,mature NK T cell,CL:0000814,male,seventh decade human stage,European,23
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,"activated CD4-positive, alpha-beta T cell",CL:0000896,male,seventh decade human stage,European,21
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,"activated CD8-positive, alpha-beta T cell",CL:0000906,male,seventh decade human stage,European,12
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,male,seventh decade human stage,European,46
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,CD14-positive monocyte,CL:0001054,male,seventh decade human stage,European,26
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,regular ventricular cardiac myocyte,CL:0002131,male,seventh decade human stage,European,1595
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,endothelial cell of lymphatic vessel,CL:0002138,male,seventh decade human stage,European,4
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,capillary endothelial cell,CL:0002144,male,seventh decade human stage,European,677
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,neural cell,CL:0002319,male,seventh decade human stage,European,11
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,"CD14-positive, CD16-positive monocyte",CL:0002397,male,seventh decade human stage,European,113
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,vein endothelial cell,CL:0002543,male,seventh decade human stage,European,74
All — Cells of the adult human heart,D7,heart left ventricle,UBERON:0002084,endothelial cell of artery,CL:1000413,male,seventh decade human stage,European,190
