dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,cell_count
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,native cell,CL:0000003,female,sixth decade human stage,European,558
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,fibroblast,CL:0000057,female,sixth decade human stage,European,742
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,mast cell,CL:0000097,female,sixth decade human stage,European,55
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,endothelial cell,CL:0000115,female,sixth decade human stage,European,57
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,smooth muscle cell,CL:0000192,female,sixth decade human stage,European,415
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,macrophage,CL:0000235,female,sixth decade human stage,European,85
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,B cell,CL:0000236,female,sixth decade human stage,European,2
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,dendritic cell,CL:0000451,female,sixth decade human stage,European,3
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,monocyte,CL:0000576,female,sixth decade human stage,European,1
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,natural killer cell,CL:0000623,female,sixth decade human stage,European,5
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,pericyte,CL:0000669,female,sixth decade human stage,European,1597
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,female,sixth decade human stage,European,16
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,mature NK T cell,CL:0000814,female,sixth decade human stage,European,6
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,"activated CD8-positive, alpha-beta T cell",CL:0000906,female,sixth decade human stage,European,24
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,female,sixth decade human stage,European,20
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,CD14-positive monocyte,CL:0001054,female,sixth decade human stage,European,1
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,regular ventricular cardiac myocyte,CL:0002131,female,sixth decade human stage,European,4496
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,capillary endothelial cell,CL:0002144,female,sixth decade human stage,European,502
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,neural cell,CL:0002319,female,sixth decade human stage,European,114
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,"CD14-positive, CD16-positive monocyte",CL:0002397,female,sixth decade human stage,European,2
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,vein endothelial cell,CL:0002543,female,sixth decade human stage,European,46
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,epicardial adipocyte,CL:1000309,female,sixth decade human stage,European,8
All — Cells of the adult human heart,H5,interventricular septum,UBERON:0002094,endothelial cell of artery,CL:1000413,female,sixth decade human stage,European,189
