dataset_id,dataset_id_for_rui,organ,rui_location_annotations_json,rui_location_annotations_Lu,list_of_colliding_AS
CODEX_Florida_19-003-lymph-node-R2.csv,CODEX_Florida_19-003-lymph-node-R2,,,,
CODEX_Florida_20-008-lymphnode10_righthalf.csv,CODEX_Florida_20-008-lymphnode10_righthalf,,,,
GTEX-1CAMR-5015.csv,GTEX-1CAMR-5015,,,,
GTEX-1HSMQ-5007.csv,GTEX-1HSMQ-5007,VHMSkinV1.1,http://purl.obolibrary.org/obo/UBERON_0013702|http://purl.obolibrary.org/obo/UBERON_0002097,http://purl.obolibrary.org/obo/UBERON_0002097,VH_M_skin
GTEX-15EOM-5003.csv,GTEX-15EOM-5003,VHFSkinV1.1,http://purl.obolibrary.org/obo/UBERON_0013702|http://purl.obolibrary.org/obo/UBERON_0002097,http://purl.obolibrary.org/obo/UBERON_0002097,VH_F_skin
GTEX-1CAMS-5015.csv,GTEX-1CAMS-5015,,,,
GTEX-1MCC2-5013.csv,GTEX-1MCC2-5013,,,,
GTEX-1R9PN-5002.csv,GTEX-1R9PN-5002,,,,
GTEX-15CHR-5005.csv,GTEX-15CHR-5005,VHMLung,http://purl.obolibrary.org/obo/UBERON_0013702|http://purl.obolibrary.org/obo/UBERON_0001004|http://purl.obolibrary.org/obo/UBERON_0002048|http://purl.org/sig/ont/fma/fma7426|http://purl.obolibrary.org/obo/UBERON_0002048|http://purl.obolibrary.org/obo/UBERON_0002168|http://purl.obolibrary.org/obo/UBERON_0008952|http://purl.org/sig/ont/fma/fma7386|http://purl.org/sig/ont/fma/fma7385,http://purl.org/sig/ont/fma/fma7385,VH_M_left_apical_bronchopulmonary_segment
GTEX-13N11-5030.csv,GTEX-13N11-5030,VHFLung,http://purl.obolibrary.org/obo/UBERON_0013702|http://purl.obolibrary.org/obo/UBERON_0001004|http://purl.obolibrary.org/obo/UBERON_0002048|http://purl.obolibrary.org/obo/UBERON_0003406|http://purl.obolibrary.org/obo/UBERON_0002185|http://purl.obolibrary.org/obo/UBERON_0002048,,
GTEX-1HSMQ-5005.csv,GTEX-1HSMQ-5005,VHMLung,http://purl.obolibrary.org/obo/UBERON_0013702|http://purl.obolibrary.org/obo/UBERON_0001004|http://purl.obolibrary.org/obo/UBERON_0002048|http://purl.org/sig/ont/fma/fma7426|http://purl.obolibrary.org/obo/UBERON_0002048|http://purl.obolibrary.org/obo/UBERON_0002168|http://purl.obolibrary.org/obo/UBERON_0008952|http://purl.org/sig/ont/fma/fma7386|http://purl.org/sig/ont/fma/fma7385,http://purl.org/sig/ont/fma/fma7385,VH_M_left_apical_bronchopulmonary_segment
HBM399.TFTQ.282.csv,HBM399.TFTQ.282,VHFLeftKidney,http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0001228|http://purl.obolibrary.org/obo/UBERON_0004200|http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0006517|http://purl.obolibrary.org/obo/UBERON_0001227,http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0004200,VH_F_outer_cortex_of_kidney_L|VH_F_renal_column_L|VH_F_renal_pyramid_L_k
HBM382.HNKL.447.csv,HBM382.HNKL.447,VHFLeftKidney,http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0008716|http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0001228|http://purl.obolibrary.org/obo/UBERON_0004200|http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0006517|http://purl.obolibrary.org/obo/UBERON_0001226|http://purl.obolibrary.org/obo/UBERON_0001227,http://purl.obolibrary.org/obo/UBERON_0004200,VH_F_renal_pyramid_L_h
HBM797.PDPS.368.csv,HBM797.PDPS.368,VHFRightKidney,http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0001228|http://purl.obolibrary.org/obo/UBERON_0004200|http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0006517|http://purl.obolibrary.org/obo/UBERON_0001227|http://purl.obolibrary.org/obo/UBERON_0008716,http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0004200,VH_F_renal_pyramid_R_a|VH_F_renal_column_R
HBM839.TQNM.958.csv,HBM839.TQNM.958,VHFRightKidney,http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0001228|http://purl.obolibrary.org/obo/UBERON_0004200|http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0006517|http://purl.obolibrary.org/obo/UBERON_0001227|http://purl.obolibrary.org/obo/UBERON_0008716,http://purl.obolibrary.org/obo/UBERON_0004200,VH_F_renal_pyramid_R_i
18-142.csv,18-142,,,,
HBM773.WCXC.264.csv,HBM773.WCXC.264,VHMLeftKidney,http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/UBERON_0002189,VH_M_outer_cortex_of_kidney_L
HBM264.RWRW.668.csv,HBM264.RWRW.668,VHMLeftKidney,http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/UBERON_0002189,VH_M_outer_cortex_of_kidney_L
HBM665.PTMR.889.csv,HBM665.PTMR.889,,,,
HBM358.KDDT.729.csv,HBM358.KDDT.729,,,,
HBM992.XNZH.647.csv,HBM992.XNZH.647,VHMRightKidney,http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/UBERON_0002189,VH_M_outer_cortex_of_kidney_R
HBM892.MXFF.848.csv,HBM892.MXFF.848,VHMLeftKidney,http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/UBERON_0002189,VH_M_outer_cortex_of_kidney_L
HBM224.GLDC.549.csv,HBM224.GLDC.549,VHFLeftKidney,http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0001228|http://purl.obolibrary.org/obo/UBERON_0004200|http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0006517|http://purl.obolibrary.org/obo/UBERON_0001227,http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0004200,VH_F_renal_pyramid_L_j|VH_F_renal_column_L
